Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
AFG,Afghanistan,2019,153,2.567,0.301,0.266,0.001,14.83,74.06,496.6,,,109.08,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2020,149,2.523,0.37,0.126,0.01,15.53,80.09,510.79,,35.99,,,10.85,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2021,146,2.404,0.758,0.289,0.005,21.51,81.52,356.5,,37.27,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2022,137,1.859,0.645,0.087,0.059,23.09,80.65,357.26,,,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2023,143,1.721,0.628,0.242,0.088,,,413.76,,,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
ALB,Albania,2019,105,4.883,0.907,0.846,0.025,6.86,366.34,5460.43,3.87,,102.59,99.02,61.41,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2020,93,5.117,1.008,0.646,0.024,7.5,396.17,5370.78,3.33,,100.02,95.93,61.59,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2021,89,5.199,1.439,0.719,0.028,7.4,465.57,6413.28,3.01,,97.11,97.67,59.97,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2022,83,5.277,1.449,0.48,0.037,6.19,414.35,6846.43,2.73,,96.37,97.32,62.65,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2023,87,5.304,1.438,0.638,0.049,,,8575.17,3.09,97.68,93.71,96.14,64.73,Upper middle income,Europe & Central Asia,19.8172,41.3317
ALB,Albania,2024,89,5.411,1.371,0.696,0.057,,,10011.63,,,111.51,108.36,82.0,Upper middle income,Europe & Central Asia,19.8172,41.3317
ARE,United Arab Emirates,2019,21,6.791,1.431,0.788,0.22,4.4,1962.47,44251.45,3.86,97.78,107.53,101.75,53.88,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2020,25,6.561,1.555,0.594,0.223,5.82,2154.41,37173.88,3.98,,108.07,99.16,54.97,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2021,24,6.576,1.998,0.633,0.25,5.3,2249.96,43360.02,3.89,98.13,106.65,103.21,56.45,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2022,26,6.571,2.015,0.401,0.247,4.68,2314.75,49899.07,,98.29,107.29,102.38,60.42,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2023,22,6.733,1.983,0.563,0.258,,,49040.69,,98.06,106.26,101.94,61.35,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARE,United Arab Emirates,2024,21,6.759,1.812,0.659,0.235,,,49377.56,,98.81,108.04,102.13,63.74,High income,"Middle East, North Africa, Afghanistan & Pakistan",54.3705,24.4764
ARG,Argentina,2019,55,5.975,1.028,0.85,0.06,10.16,1011.08,9955.97,4.77,,109.34,110.46,95.19,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2020,57,5.929,1.162,0.646,0.067,10.45,892.0,8535.6,5.28,99.14,108.5,112.38,99.37,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2021,57,5.967,1.592,0.662,0.085,10.04,1080.88,10738.02,4.65,,108.14,115.74,107.22,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2022,52,6.024,1.59,0.427,0.082,9.86,1370.88,13935.68,4.79,,106.76,114.15,107.1,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2023,48,6.188,1.562,0.585,0.08,,,14187.48,5.9,,102.54,105.57,107.82,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARG,Argentina,2024,42,6.397,1.504,0.579,0.083,,,13858.2,,,,,,Upper middle income,Latin America & Caribbean ,-58.4173,-34.6118
ARM,Armenia,2019,116,4.677,0.808,0.776,0.105,11.38,533.7,4597.23,2.16,,92.32,86.83,53.59,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2020,86,5.283,0.996,0.585,0.198,12.24,535.27,4268.68,2.71,99.79,92.87,88.51,52.33,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2021,82,5.399,1.434,0.668,0.21,12.32,595.84,4685.18,2.77,,94.64,91.49,56.62,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2022,79,5.342,1.466,0.443,0.16,9.96,674.79,6571.97,2.49,99.82,96.95,91.71,57.18,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2023,82,5.455,1.444,0.603,0.173,,,8125.27,2.44,99.84,98.09,89.41,56.28,Upper middle income,Europe & Central Asia,44.509,40.1596
ARM,Armenia,2024,87,5.494,1.391,0.828,0.158,,,8500.61,,,101.99,90.95,52.77,Upper middle income,Europe & Central Asia,44.509,40.1596
AUS,Australia,2019,12,7.223,1.31,1.023,0.336,10.21,5529.19,54972.7,,,100.2,144.06,109.76,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2020,11,7.183,1.453,0.801,0.317,10.66,5952.89,51791.54,5.39,,99.9,137.49,110.14,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2021,12,7.162,1.9,0.772,0.341,10.43,7039.58,60607.78,5.34,,99.93,135.53,112.69,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2022,12,7.095,1.899,0.532,0.31,9.93,6731.0,64997.01,5.06,,99.13,133.28,106.24,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2023,10,7.057,1.854,0.692,0.323,,,64835.92,,,99.37,134.1,104.65,High income,East Asia & Pacific,149.129,-35.282
AUS,Australia,2024,11,6.974,1.767,0.841,0.285,,,64407.48,,,,,,High income,East Asia & Pacific,149.129,-35.282
AUT,Austria,2019,9,7.294,1.317,1.001,0.281,10.49,5263.39,49885.99,5.24,,101.78,101.54,86.32,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2020,10,7.268,1.492,0.782,0.292,11.32,5531.02,48716.41,5.58,,101.56,101.69,88.71,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2021,11,7.163,1.931,0.774,0.329,12.15,6520.49,53648.72,5.48,,101.64,102.31,93.94,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2022,11,7.097,1.927,0.535,0.31,11.16,5851.96,52176.66,5.28,,100.78,101.46,94.51,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2023,14,6.905,1.885,0.696,0.305,10.88,6208.64,56033.57,,,100.9,100.5,91.68,High income,Europe & Central Asia,16.3798,48.2201
AUT,Austria,2024,17,6.81,1.791,0.814,0.28,,,56833.2,,,,,,High income,Europe & Central Asia,16.3798,48.2201
AZE,Azerbaijan,2019,89,5.165,0.99,0.731,0.247,4.18,199.26,4805.75,3.18,99.8,97.94,107.86,32.92,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2020,90,5.171,1.025,0.541,0.276,5.85,245.22,4229.91,4.33,,98.24,91.37,36.39,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2021,92,5.173,1.458,0.56,0.341,4.69,250.99,5408.05,3.7,,97.73,91.41,39.01,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2023,101,4.893,1.433,0.496,0.199,,,7133.03,3.66,99.78,101.98,92.74,41.39,Upper middle income,Europe & Central Asia,49.8932,40.3834
AZE,Azerbaijan,2024,106,4.875,1.428,0.707,0.179,,,7283.84,,,105.63,91.12,41.34,Upper middle income,Europe & Central Asia,49.8932,40.3834
BDI,Burundi,2019,140,3.775,0.0,0.295,0.212,9.05,22.24,210.24,5.35,,101.51,41.84,,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BDI,Burundi,2020,140,3.775,0.0,0.155,0.212,10.72,26.22,210.01,5.32,71.41,101.66,44.92,,Low income,Sub-Saharan Africa ,29.3639,-3.3784
BEL,Belgium,2019,20,6.864,1.296,0.965,0.209,10.76,5033.17,46716.62,6.32,,102.15,156.64,79.3,High income,Europe & Central Asia,4.36761,50.8371
BEL,Belgium,2020,20,6.834,1.463,0.747,0.187,11.26,5144.98,45906.29,6.75,,102.06,151.73,79.5,High income,Europe & Central Asia,4.36761,50.8371
