id,country_name,year,series_name,value,income_level,region,longitude,latitude,iso2Code
AFG,Afghanistan,2011,GDP per capita (current US$),606.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,Current health expenditure per capita (current US$),52.19,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,Current health expenditure (% of GDP),8.56,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,"Government expenditure on education, total (% of GDP)",3.46,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,"Literacy rate, adult total (% of people ages 15 and above)",31.45,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,"School enrollment, primary (% gross)",101.54,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,"School enrollment, secondary (% gross)",52.45,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,"School enrollment, tertiary (% gross)",3.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
ALB,Albania,2011,GDP per capita (current US$),4465.71,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,Current health expenditure per capita (current US$),273.75,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,Current health expenditure (% of GDP),6.18,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,"Government expenditure on education, total (% of GDP)",3.18,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,"Literacy rate, adult total (% of people ages 15 and above)",96.85,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,"School enrollment, primary (% gross)",101.58,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,"School enrollment, secondary (% gross)",95.47,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
ALB,Albania,2011,"School enrollment, tertiary (% gross)",49.4,Upper middle income,Europe & Central Asia,19.8172,41.3317,AL
DZA,Algeria,2011,GDP per capita (current US$),5916.31,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,Current health expenditure per capita (current US$),285.5,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,Current health expenditure (% of GDP),4.83,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,"Government expenditure on education, total (% of GDP)",9.12,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,"Literacy rate, adult total (% of people ages 15 and above)",,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,"School enrollment, primary (% gross)",112.73,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,"School enrollment, secondary (% gross)",103.18,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
DZA,Algeria,2011,"School enrollment, tertiary (% gross)",32.39,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397,DZ
ASM,American Samoa,2011,GDP per capita (current US$),10383.46,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,Current health expenditure per capita (current US$),,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,Current health expenditure (% of GDP),,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,"Government expenditure on education, total (% of GDP)",,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,"School enrollment, primary (% gross)",,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,"School enrollment, secondary (% gross)",,High income,East Asia & Pacific,-170.691,-14.2846,AS
ASM,American Samoa,2011,"School enrollment, tertiary (% gross)",,High income,East Asia & Pacific,-170.691,-14.2846,AS
AND,Andorra,2011,GDP per capita (current US$),46657.16,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,Current health expenditure per capita (current US$),3550.91,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,Current health expenditure (% of GDP),7.62,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,"Government expenditure on education, total (% of GDP)",2.99,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,"Literacy rate, adult total (% of people ages 15 and above)",,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,"School enrollment, primary (% gross)",86.23,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,"School enrollment, secondary (% gross)",86.2,High income,Europe & Central Asia,1.5218,42.5075,AD
AND,Andorra,2011,"School enrollment, tertiary (% gross)",,High income,Europe & Central Asia,1.5218,42.5075,AD
AGO,Angola,2011,GDP per capita (current US$),4615.91,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
AGO,Angola,2011,Current health expenditure per capita (current US$),122.12,Lower middle income,Sub-Saharan Africa ,13.242,-8.81155,AO
