id,country_name,year,value,series_name
AFG,Afghanistan,2011,606.69,GDP per capita (current US$)
AFG,Afghanistan,2011,52.19,Current health expenditure per capita (current US$)
AFG,Afghanistan,2011,8.56,Current health expenditure (% of GDP)
AFG,Afghanistan,2011,3.46,"Government expenditure on education, total (% of GDP)"
AFG,Afghanistan,2011,31.45,"Literacy rate, adult total (% of people ages 15 and above)"
AFG,Afghanistan,2011,101.54,"School enrollment, primary (% gross)"
AFG,Afghanistan,2011,52.45,"School enrollment, secondary (% gross)"
AFG,Afghanistan,2011,3.69,"School enrollment, tertiary (% gross)"
ALB,Albania,2011,4465.71,GDP per capita (current US$)
ALB,Albania,2011,273.75,Current health expenditure per capita (current US$)
ALB,Albania,2011,6.18,Current health expenditure (% of GDP)
ALB,Albania,2011,3.18,"Government expenditure on education, total (% of GDP)"
ALB,Albania,2011,96.85,"Literacy rate, adult total (% of people ages 15 and above)"
ALB,Albania,2011,101.58,"School enrollment, primary (% gross)"
ALB,Albania,2011,95.47,"School enrollment, secondary (% gross)"
ALB,Albania,2011,49.4,"School enrollment, tertiary (% gross)"
DZA,Algeria,2011,5916.31,GDP per capita (current US$)
DZA,Algeria,2011,285.5,Current health expenditure per capita (current US$)
DZA,Algeria,2011,4.83,Current health expenditure (% of GDP)
DZA,Algeria,2011,9.12,"Government expenditure on education, total (% of GDP)"
DZA,Algeria,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
DZA,Algeria,2011,112.73,"School enrollment, primary (% gross)"
DZA,Algeria,2011,103.18,"School enrollment, secondary (% gross)"
DZA,Algeria,2011,32.39,"School enrollment, tertiary (% gross)"
ASM,American Samoa,2011,10383.46,GDP per capita (current US$)
ASM,American Samoa,2011,,Current health expenditure per capita (current US$)
ASM,American Samoa,2011,,Current health expenditure (% of GDP)
ASM,American Samoa,2011,,"Government expenditure on education, total (% of GDP)"
ASM,American Samoa,2011,,"Literacy rate, adult total (% of people ages 15 and above)"
ASM,American Samoa,2011,,"School enrollment, primary (% gross)"
