Iso3,Country,Year,Happiness Rank,Happiness Score,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
AFG,Afghanistan,2011,131,4.258,8.56,52.19,606.69,3.46,31.45,101.54,52.45,3.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2012,143,4.04,7.9,52.45,651.42,2.6,,106.58,54.37,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2014,153,3.575,9.53,60.05,625.05,3.7,,109.83,54.29,8.4,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2015,153,3.36,10.11,59.92,565.57,3.26,33.75,106.77,53.15,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2016,141,3.794,11.82,61.37,522.08,4.54,,106.78,53.44,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2017,145,3.632,12.62,66.82,525.47,4.34,,106.54,55.54,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2018,154,3.203,14.21,71.23,491.34,,,107.69,57.36,10.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2019,153,2.567,14.83,74.06,496.6,,,109.08,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2020,149,2.523,15.53,80.09,510.79,,35.99,,,10.85,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2021,146,2.404,21.51,81.52,356.5,,37.27,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
AFG,Afghanistan,2022,137,1.859,23.09,80.65,357.26,,,,,,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228
