Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,series_name,value,Income Level,Region,longitude,latitude,iso2Code
AFG,Afghanistan,2011,131,4.258,,,,GDP per capita (current US$),606.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,Current health expenditure per capita (current US$),52.19,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,Current health expenditure (% of GDP),8.56,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,"Government expenditure on education, total (% of GDP)",3.46,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,"Literacy rate, adult total (% of people ages 15 and above)",31.45,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,"School enrollment, primary (% gross)",101.54,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,"School enrollment, secondary (% gross)",52.45,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2011,131,4.258,,,,"School enrollment, tertiary (% gross)",3.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,GDP per capita (current US$),651.42,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,Current health expenditure per capita (current US$),52.45,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,Current health expenditure (% of GDP),7.9,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,"Government expenditure on education, total (% of GDP)",2.6,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,"Literacy rate, adult total (% of people ages 15 and above)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,"School enrollment, primary (% gross)",106.58,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,"School enrollment, secondary (% gross)",54.37,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2012,143,4.04,,,,"School enrollment, tertiary (% gross)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,GDP per capita (current US$),625.05,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,Current health expenditure per capita (current US$),60.05,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,Current health expenditure (% of GDP),9.53,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,"Government expenditure on education, total (% of GDP)",3.7,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,"Literacy rate, adult total (% of people ages 15 and above)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,"School enrollment, primary (% gross)",109.83,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,"School enrollment, secondary (% gross)",54.29,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2014,153,3.575,,,,"School enrollment, tertiary (% gross)",8.4,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,GDP per capita (current US$),565.57,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,Current health expenditure per capita (current US$),59.92,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,Current health expenditure (% of GDP),10.11,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,"Government expenditure on education, total (% of GDP)",3.26,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,"Literacy rate, adult total (% of people ages 15 and above)",33.75,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,"School enrollment, primary (% gross)",106.77,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,"School enrollment, secondary (% gross)",53.15,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2015,153,3.36,,,,"School enrollment, tertiary (% gross)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,GDP per capita (current US$),522.08,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,Current health expenditure per capita (current US$),61.37,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,Current health expenditure (% of GDP),11.82,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,"Government expenditure on education, total (% of GDP)",4.54,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,"Literacy rate, adult total (% of people ages 15 and above)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,"School enrollment, primary (% gross)",106.78,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,"School enrollment, secondary (% gross)",53.44,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2016,141,3.794,,,,"School enrollment, tertiary (% gross)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,GDP per capita (current US$),525.47,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,Current health expenditure per capita (current US$),66.82,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,Current health expenditure (% of GDP),12.62,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,"Government expenditure on education, total (% of GDP)",4.34,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,"Literacy rate, adult total (% of people ages 15 and above)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,"School enrollment, primary (% gross)",106.54,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,"School enrollment, secondary (% gross)",55.54,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2017,145,3.632,,,,"School enrollment, tertiary (% gross)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,GDP per capita (current US$),491.34,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,Current health expenditure per capita (current US$),71.23,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,Current health expenditure (% of GDP),14.21,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,"Government expenditure on education, total (% of GDP)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,"Literacy rate, adult total (% of people ages 15 and above)",,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
AFG,Afghanistan,2018,154,3.203,,,,"School enrollment, primary (% gross)",107.69,Low income,"Middle East, North Africa, Afghanistan & Pakistan",69.1761,34.5228,AF
